cores,mpi_ranks,omp_threads,time,speedup,efficiency
1,1,1,4.616839,1.0,1.0
2,2,1,2.499937,1.8467821389099004,0.9233910694549502
4,2,2,2.296408,2.010461120149381,0.5026152800373452
8,4,2,0.792629,5.824716229156389,0.7280895286445487
16,4,4,0.702106,6.575700820104086,0.4109813012565054
