cores,time,speedup,efficiency
1,2.482735,1.0,1.0
2,1.586702,1.5647141051060627,0.7823570525530313
4,0.824677,3.0105544352516196,0.7526386088129049
8,0.670999,3.700057675197727,0.4625072093997159
16,0.684346,3.6278943692225862,0.22674339807641164
