cores,mpi_ranks,omp_threads,grid_size,total_time,time_per_iter
1,1,1,1024,0.27253,0.0027253
2,2,1,1536,0.33373,0.0033373
4,2,2,2048,0.542022,0.00542022
8,4,2,3072,0.418892,0.00418892
16,4,4,4096,0.698732,0.00698732
